british,american,irregular_plural,adjective,adverb,conjunction,determiner,discourse_marker,exclamation,interrogative,noun,possessive,preposition,pronoun,title,verb,starters,movers,flyers,animals,body_and_face,clothes,colours,family_and_friends,food_and_drink,health,home,materials,names,numbers,places_and_directions,school,sports_and_leisure,time,toys,transport,weather,work,world_around_us,audioKey,audioValue,cambridgeAudioGB,cambridgeAudioUS,audioSource,isBritishAccent,isAmericanAccent,definitionEn,definitionVi,translationVi,exampleStarters,exampleMovers,exampleFlyers,exampleStartersVi,exampleMoversVi,exampleFlyersVi,ipa,ipaGB,ipaUS,status
alphabet,alphabet,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alphabet,http://static.sfdict.com/staticrep/dictaudio/A03/A0347700.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukall/ukally_023.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/alp/alpha/alphabet.mp3,SF Dictionary,FALSE,FALSE,A set of letters used to write words in a language.,Bảng gồm các chữ cái dùng để viết từ trong một ngôn ngữ.,bảng chữ cái,The alphabet has letters.,We are learning the English alphabet at school.,"If you know the alphabet well, you can spell many words correctly.",Bảng chữ cái có các chữ cái.,Chúng em đang học bảng chữ cái tiếng Anh ở trường.,"Nếu em biết bảng chữ cái tốt, em có thể đánh vần nhiều từ đúng.",,/ˈæl.fə.bet/,/ˈæl.fə.bɛt/,done
an,an,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,an,http://static.sfdict.com/staticrep/dictaudio/A04/A0427300.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukamu/ukamusi003.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/an_/an___/an.mp3,SF Dictionary,FALSE,FALSE,A word used before a noun that starts with a vowel sound.,Từ dùng trước danh từ bắt đầu bằng nguyên âm để chỉ một cái gì đó.,một (dùng trước nguyên âm),I have an apple.,She is eating an orange now.,"If you see an elephant at the zoo, take a photo.",Em có một quả táo.,Cô ấy đang ăn một quả cam.,"Nếu em thấy một con voi ở sở thú, hãy chụp ảnh nhé.",,/æn/,/æn/,done
and,and,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukana/ukanarc018.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/and/and__/and.mp3,,FALSE,FALSE,A word used to join two words or sentences together.,Một từ dùng để nối hai từ hoặc hai câu lại với nhau.,và,I have a cat and dog.,She likes apples and bananas for breakfast.,Tom played football and then he did his homework after school.,Em có một con mèo và một con chó.,Cô ấy thích táo và chuối vào bữa sáng.,Tom đã chơi bóng đá và sau đó làm bài tập về nhà sau giờ học.,,/ənd/,/ænd/,done
angry,angry,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,angry,http://www.yourdictionary.com/audio/a/an/angry.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukang/ukangel024.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/ang/angry/angry.mp3,YourDictionary,FALSE,TRUE,Describing someone who feels very upset or mad about something.,Dùng để nói về ai đó cảm thấy rất khó chịu hoặc bực mình về điều gì đó.,tức giận,I am angry.,She was angry because it rained.,"If you break his toy, he will get very angry with you.",Em đang tức giận.,Cô ấy đã tức giận vì trời mưa.,"Nếu bạn làm hỏng đồ chơi của bạn ấy, bạn ấy sẽ rất tức giận với bạn.",,/ˈæŋ.ɡri/,/ˈæŋ.ɡri/,done
animal,animal,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,animal,http://static.sfdict.com/staticrep/dictaudio/A04/A0489900.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukang/ukangel030.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/ani/anima/animal.mp3,SF Dictionary,FALSE,FALSE,An animal is a living thing that can move and is not a plant.,Động vật là sinh vật sống có thể di chuyển và không phải là cây.,động vật,I see an animal.,The animal is eating some food now.,"Many animals live in the forest, where they find food and shelter.",Em nhìn thấy một con vật.,Con vật đang ăn thức ăn bây giờ.,"Nhiều loài động vật sống trong rừng, nơi chúng tìm thức ăn và chỗ ở.",,/ˈæn.ɪ.məl/,/ˈæn.ə.məl/,done
Ann,Ann,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,A girl’s name that is used in English-speaking countries.,Ann là một tên riêng dành cho con gái trong tiếng Anh.,Ann (tên riêng nữ),Ann is my friend.,Ann has a red school bag.,"Ann, who loves reading books, often visits the library after school.",Ann là bạn của em.,Ann có một chiếc cặp sách màu đỏ.,"Ann, người rất thích đọc sách, thường đến thư viện sau giờ học.",,/æn/,/æn/,done
Anna,Anna,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,anna,http://www.oxforddictionaries.com/media/english/uk_pron/a/ann/anna_/anna__gb_1_8.mp3,,,Oxford,TRUE,FALSE,A girl's name that is used in many countries around the world.,Anna là tên của một bạn gái được dùng ở nhiều nước trên thế giới.,Anna,Anna is my friend.,Anna has a red school bag.,"Anna, who loves to draw, won a prize in the art competition last week.",Anna là bạn của em.,Anna có một chiếc cặp sách màu đỏ.,"Anna, người rất thích vẽ, đã giành giải thưởng trong cuộc thi vẽ tuần trước.",,/ˈæn.ə/,/ˈæn.ə/,done
answer,answer,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,answer,http://www.oxforddictionaries.com/media/english/uk_pron/a/ans/answe/answer__gb_1.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukano/ukanore006.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/ans/answe/answer.mp3,Oxford,TRUE,FALSE,A word or sentence you say or write to reply to a question.,Một từ hoặc câu mà bạn nói hoặc viết để trả lời câu hỏi.,trả lời,I know the answer.,She wrote the answer on the board.,"If you don't know the answer, you can ask your teacher for help.",Em biết câu trả lời.,Cô ấy đã viết đáp án lên bảng.,"Nếu em không biết đáp án, em có thể hỏi cô giáo giúp đỡ.",,/ˈɑːn.sər/,/ˈæn.sɚ/,done
apple,apple,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,apple,http://www.yourdictionary.com/audio/a/ap/apple.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukapp/ukappen014.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/app/apple/apple.mp3,YourDictionary,FALSE,TRUE,"A round, sweet fruit that grows on trees.","Một loại trái cây tròn, ngọt, mọc trên cây.",táo,I like apples.,My mum bought some apples at the market.,Scientists say that eating an apple every day is good for your health.,Em thích táo.,Mẹ em đã mua táo ở chợ.,Các nhà khoa học nói rằng ăn táo mỗi ngày tốt cho sức khỏe.,,/ˈæp.əl/,/ˈæp.əl/,done
arm,arm,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,arm,http://dictionary.cambridge.org/us/media/english/uk_pron/u/uka/ukarg/ukargyb018.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukarg/ukargyb018.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/arm/arm__/arm.mp3,Cambridge,TRUE,TRUE,An arm is the long part of your body from your shoulder to your hand.,"Cánh tay là phần dài trên cơ thể, nối từ vai đến bàn tay.",cánh tay,I have two arms.,She is drawing a picture of her arm.,"If you hurt your arm, you should tell an adult right away.",Em có hai cánh tay.,Cô ấy đang vẽ một bức tranh về cánh tay của mình.,"Nếu em bị đau cánh tay, em nên nói ngay với người lớn.",,/ɑːm/,/ɑːrm/,done
armchair,armchair,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,armchair,http://www.yourdictionary.com/audio/a/ar/armchair.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukarg/ukargyb026.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/arm/armch/armchair.mp3,YourDictionary,FALSE,TRUE,An armchair is a soft chair with arms where you can sit comfortably.,Ghế bành là loại ghế mềm có tay vịn để ngồi thoải mái.,ghế bành,This is my armchair.,Dad is reading in the armchair.,I sat in the armchair and read my favourite book last night.,Đây là ghế bành của em.,Bố đang đọc sách trên ghế bành.,Tối qua em ngồi trên ghế bành và đọc cuốn sách yêu thích của mình.,,/ˈɑːm.tʃeə(r)/,/ˈɑːrm.tʃer/,done
ask,ask,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ask,http://dictionary.cambridge.org/us/media/english/uk_pron/u/uka/ukasi/ukaside003.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukasi/ukaside003.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/ask/ask__/ask.mp3,Cambridge,TRUE,TRUE,To say something to get information or help from someone.,Hỏi nghĩa là nói để biết thêm thông tin hoặc nhờ ai giúp đỡ.,hỏi,I ask my teacher.,She asked her friend for a pencil.,"If you don't understand the lesson, you should ask your teacher for help.",Em hỏi cô giáo của em.,Cô ấy đã hỏi bạn mượn một cây bút chì.,"Nếu em không hiểu bài, em nên hỏi cô giáo giúp đỡ.",,/ɑːsk/,/æsk/,done
at,at,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,at,http://dictionary.cambridge.org/us/media/english/uk_pron/u/uka/ukasu/ukasund007.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukasu/ukasund007.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/at_/at___/at.mp3,Cambridge,TRUE,TRUE,"A word used to show a place, time, or position.","Một từ dùng để chỉ nơi chốn, thời gian hoặc vị trí.","ở, tại",I am at home.,She is at school now.,We met our friends at the park yesterday afternoon.,Em đang ở nhà.,Cô ấy đang ở trường bây giờ.,Chúng em đã gặp bạn ở công viên vào chiều hôm qua.,,/æt/,/æt/,done
baby,baby,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,baby,http://dictionary.cambridge.org/us/media/english/us_pron/b/bab/baby_/baby.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukazt/ukazt__013.mp3,https://dictionary.cambridge.org/media/english/us_pron/b/bab/baby_/baby.mp3,Cambridge,FALSE,TRUE,A very young child who cannot walk or talk yet.,Em bé là một đứa trẻ nhỏ chưa biết đi hoặc nói chuyện.,em bé,The baby is small.,My aunt is holding her baby now.,"When my sister was a baby, she cried a lot at night.",Em bé rất nhỏ.,Dì em đang bế em bé của dì ấy.,"Khi em gái em còn là em bé, em ấy khóc rất nhiều vào ban đêm.",,/ˈbeɪ.bi/,/ˈbeɪ.bi/,done
badminton,badminton,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,badminton,http://dictionary.cambridge.org/us/media/english/uk_pron/u/ukb/ukbac/ukbacks025.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/ukb/ukbac/ukbacks025.mp3,https://dictionary.cambridge.org/media/english/us_pron/b/bad/badmi/badminton.mp3,Cambridge,TRUE,TRUE,A sport where you hit a small shuttlecock over a net with rackets.,Một môn thể thao dùng vợt đánh quả cầu nhỏ qua lưới.,cầu lông,I play badminton.,My sister is playing badminton with her friends.,"If it doesn't rain tomorrow, we will play badminton in the park after school.",Em chơi cầu lông.,Chị gái em đang chơi cầu lông với các bạn của chị ấy.,"Nếu ngày mai không mưa, chúng em sẽ chơi cầu lông ở công viên sau giờ học.",,/ˈbæd.mɪn.tən/,/ˈbæd.mɪn.tən/,done
bag,bag,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bag,http://www.oxforddictionaries.com/media/english/uk_pron/b/bag/bag__/bag__gb_1.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/ukb/ukbag/ukbag__001.mp3,https://dictionary.cambridge.org/media/english/us_pron/b/bag/bag__/bag.mp3,Oxford,TRUE,FALSE,A bag is something you use to carry things like books or toys.,Cái túi là vật dùng để đựng và mang theo sách hoặc đồ chơi.,cái túi,I have a bag.,She is carrying a red bag to school.,"If you forget your bag at home, you might not have your books for class.",Em có một cái túi.,Cô ấy đang mang một cái túi đỏ đến trường.,"Nếu em quên túi ở nhà, em có thể không có sách để học.",,/bæɡ/,/bæɡ/,done
